Liatris_aspera,Solidago_nemoralis,Achillea_millefolium,Monarda_fistulosa,Asclepias_tuberosa,Rumex_acetosella,Petalostemum_villosum,Lespedeza_capitata,Amorpha_canescens,Lupinus_perennis,Panicum_sumatrense,Panicum_oligosanthes,Andropogon_gerardi,Schizachyrium_scoparium,Sorghastrum_nutans,Bouteloua_aristidoides,Poa_pratensis,Agrostis_rudis,Koeleria_pyramidata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.32,0,0,0,3.95
0,0,0,0,0,0,0,0,0,0,0,0,0,58.82,0,0,0,1.12,0
0,0,0,0,0,0,0,0,0,0,0,0,0,64.8,0,2.73,0,0.31,0
0,0,0,0,0,0,0,0,0,0,0,0,51.3,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,46.52,0,27.75,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4.73,0,0,68.15,0,0,0,0.43,0
0,0,0,0,0,0,0,0,0,28.88,0,0,193.78,0,5.85,0,40.18,0,0
0,0,0,0,0,0,0,50.37,0,0,0,0,0,107,39.32,0.7,13.97,1.1,0
0,0,0,0,0,0,87.8,0,0,0,0,0,0,176.52,0,0,0,0,0
0,0,0,0,0,0,14.55,0,0,0,0,0,0,88.85,0,0,0,0,0
0,0,0,0,0,0,33.49,0,0,0,20.53,0,26.8,84.63,16.48,0.67,15.23,0,23.53
0,0,0,0,0,0,10.55,9.13,0,57.88,0,0,101.35,7.23,86.13,0,47.75,0,0
0,0,0,0,0,2.65,0,0,0,0,0,0,0,0,114.13,0,0,1.4,0
0,0,0,0,0,9.15,0,0,0,0,0,0,32.87,0,102.6,0.45,0,0,5.12
0,0,0,0,0,2.9,0,0,0,19.1,3.02,0,101.5,61.1,55.85,0,15.28,0,9.35
0,0,0,0,0,2.55,0,42.5,0,0,0,0,0,132.97,0,0,0,0.25,0
0,0,0,0,43.18,0,45.35,24.48,0,35.33,0,5.33,84.77,15.42,0,0,32.53,0,0
0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,103.93,0,0,0,1.87
0,0,1.2,0,0,0,42.83,0,0,0,0,0,78.48,0,7.37,0,0,0,9.15
0,0,2.8,0,0,0,76,30.48,0,22.6,28.18,3.7,0,0,0,0,28.58,0,22.23
0,0,1.82,3.58,15.07,0,0,33.95,0,4.52,0,1.23,127.98,16.08,19.9,0,9.42,0.78,0
0,0,2.2,2.9,5.98,7.75,11.1,0,57.28,0,4,0,49.08,52.22,31.05,0,17.9,0,5.8
0,27.15,0,0,0,0,0,0,0,0,0,0,50.97,38.8,12.2,0,0,0,11.97
0,40.38,0,0,0,0,28.4,0,0,27.32,4.62,0,11.98,70.57,75.75,0,25.48,0,0
0,21.48,0,0,0,0,6.93,8.97,23.93,5.67,0,0,42.55,46.33,17.1,0,23.7,0,5.78
0,82.3,0,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89.92,0,9.45,0,0,39.93,22.48,0,13.75,0,2.73,55.2,37.77,92.28,0,27.95,0,2.88
0,36.98,1.87,0,0,0,0,35.55,0,0,0,0,39.43,0,122.03,2.92,8.03,0.57,1.67
0,59.65,5.9,0,0,0,0,23.62,18.1,14,0,0,45.22,18.2,27.78,0,18.53,0,5.03
0,31.22,4.65,0,0,0,154.92,5.88,0,32.63,4.48,0.57,44.23,34.53,16.33,0,28.67,0,2.42
0,223.57,24.68,0,32.43,0,70.3,2.14,0,18.97,0,0.53,114.97,5.3,19.72,0,11.72,0,0
0,53.4,0.97,0,3.25,0,6.82,6.55,21.43,60.02,0,0.68,68.23,64.77,0,0,15.3,0,16.05
0,254.93,2.25,6.13,0,0,0,0,0,0,33.48,0,0,35.65,0,0,0,0,2.68
0,131.12,1.28,8.33,0,0,43.98,0,0,0,2.85,0.9,0,111.27,5.45,0,0,0,0
0,54.8,4.5,11.07,0,0,26.68,6.75,0,0,0,1.93,58.1,12.8,30.12,0,11.57,0,0
0,55.32,26.18,4.83,44.93,0,0,0,0,45.37,0,0,434.47,0,107.05,0,26.55,0,0
0,175.6,3.07,33.58,30.63,0,0,0,0,21.67,3.75,0.52,14.02,4.7,114.57,0,17.77,0,0
166.02,0,0,0,0,0,0,0,0,0,0,0,38.27,0,0,0,0,0,1.63
27.53,0,0,0,0,0,0,21.45,9.98,51.98,0,0,39.18,39.38,70.12,0,17.88,0,20.05
75.87,0,0,0,0,0,0,16.18,35.15,36.4,5.62,0,41.97,24.48,105.78,0,29.43,0,0
70.27,0,0,0,0,6.45,31.75,35.92,0,2.8,0,0,0,117.95,0,1.02,5.07,0,1.52
13,0,1.77,0,0,0,0,16.25,20.6,23.28,0,0.68,53.95,21.8,59.72,0,27.23,0,0
54.12,0,4.67,0,0,0,31.38,0,59.52,17.55,0,3.9,39.53,32.95,84.8,0,15.25,0,0
52.1,0,3.2,0,0,0,21.5,6.42,0,16.15,4.37,0,72.38,0,17.22,0,14.27,1.5,0
8.93,0,3.13,0,0,2.77,0,35.42,0,11.5,0,0.47,44.23,5.88,76.82,0,19.93,0,0
58.95,0,2.6,0,0,2.4,63.02,0,0,0,5.38,0.88,0,90.22,29.4,1.6,6.22,2.72,0
24.25,121.72,0,0,0,0,50.35,0,77.75,23.15,0,0,32.6,9.77,66.87,0,13.97,0,0
64.05,44.52,0,0,0,0,68.1,15.28,34.32,10.03,0,2.82,44.52,37.02,9.05,0,25.18,0,0
23.88,18.72,0,0,0,0,19.4,14.72,8.93,46.28,7.4,0,23.3,57.73,90.32,0,18.17,0,0
16.27,195.6,0,11.42,0,0,0,9.1,0,9.15,0,0,0,0,0,0,15.12,0,0
20.48,10.1,4.22,0,3.35,0,0,12.83,62.12,3.62,0,0,75.33,29.73,20.45,0,12.82,0.98,3.67
88.03,13.12,2.98,11.52,0,0,9.48,0,0,79.75,0,0,129.57,39.9,23.2,0,56.85,0,0
74.45,17.1,3.25,3.45,0,0,84.22,12.48,49.73,25.68,0,1.12,95.37,0,0,0,42.12,0,0
15.72,8.88,3.2,13.15,7.55,0.67,28.380000000000003,19.95,35.95,0,0,1.75,11.53,50.38,50.08,0,8.32,0,6.02
