"species","genus","family","code"
"Andropogon gerardii","Andropogon","Poaceae","ANGE"
"Asclepias tuberosa","Asclepias","Apocynaceae","ASTU"
"Desmodium canadense","Desmodium","Fabaceae","DECA"
"Elymus canadensis","Elymus","Poaceae","ELCA"
"Elymus trachycaulus","Elymus","Poaceae","ELTR"
"Lespedeza capitata","Lespedeza","Fabaceae","LECA"
"Monarda fistulosa","Monarda","Lamiaceae","MOFI"
"Penstemon hirsutus","Penstemon","Plantaginaceae","PEHI"
"Pycnanthemum tenuifolium","Pycnanthemum","Lamiaceae","PYTE"
"Pycnanthemum virginianum","Pycnanthemum","Lamiaceae","PYVI"
"Rudbeckia hirta","Rudbeckia","Asteraceae","RUHI"
"Schizachyrium scoparium","Schizachyrium","Poaceae","SCSC"
"Solidago altissima","Solidago","Asteraceae","SOAL"
"Solidago nemoralis","Solidago","Asteraceae","SONE"
